t,ax,ay,az 
1.5608126710267E13,-0.42182922,2.8927765,9.610443
1.5608131745667E13,-0.47827148,2.936264,9.521408
1.5608136781068E13,-0.50616455,2.9342651,9.503738
1.5608141816468E13,-0.5637207,2.9154663,9.6315155
1.5608146851868E13,-0.55778503,2.9084473,9.867706
1.5608151887269E13,-0.48980713,2.8334198,10.096176
1.5608156922669E13,-0.4326477,2.7197418,10.305664
1.560816195807E13,-0.35256958,2.625183,10.3988495
1.560816699347E13,-0.33113098,2.5777893,10.447922
1.560817202887E13,-0.31388855,2.5332794,10.498703
1.5608177064271E13,-0.32696533,2.551468,10.445435
1.5608182099671E13,-0.34901428,2.6249542,10.375015
1.5608187135072E13,-0.38987732,2.6618347,10.354401
1.5608192170472E13,-0.4520874,2.660263,10.288315
1.5608197205872E13,-0.504364,2.6095428,10.322113
1.5608202241273E13,-0.577652,2.521286,10.368973
1.5608207276673E13,-0.6322937,2.4205627,10.398331
1.5608212312074E13,-0.6750183,2.2825623,10.3199005
1.5608217347474E13,-0.7382965,2.1730957,10.0984955
1.5608222382874E13,-0.79185486,2.135559,9.860947
1.5608227418275E13,-0.85995483,2.1639404,9.64183
1.5608232453675E13,-0.86479187,2.1410828,9.510452
1.5608237489075E13,-0.81188965,2.2198029,9.350357
1.5608242524476E13,-0.7789154,2.2819672,9.183426
1.5608247559876E13,-0.6823578,2.344635,9.107437
1.5608252595277E13,-0.6445923,2.3264618,9.088165
1.5608257630677E13,-0.66026306,2.3023834,9.226425
1.5608262666077E13,-0.6256561,2.206894,9.495605
1.5608267701478E13,-0.5578766,2.1461487,9.750992
1.5608272736878E13,-0.54415894,2.1039124,10.094437
1.5608277772279E13,-0.5237732,2.0235138,10.3237915
1.5608282807679E13,-0.53323364,1.9387054,10.673645
1.5608287843079E13,-0.5487366,1.8091583,11.030777
1.560829287848E13,-0.5026398,1.7291107,11.540329
1.560829791388E13,-0.5169983,1.7334747,12.045563
1.5608302949281E13,-0.47946167,1.7075806,12.37175
1.5608307984681E13,-0.4580841,1.6382141,12.567688
1.5608313020081E13,-0.50367737,1.6097107,12.362564
1.5608318055482E13,-0.53045654,1.6052551,12.001053
