t,mx,my,mz,mxb,myb,mzb 
1.539880006738E13,19.171143,16.889954,443.1656,1.0238647,68.74237,496.78802
1.5398820208982E13,18.933105,18.241882,443.27545,1.0238647,68.74237,496.78802
1.5398840350583E13,18.148804,17.45758,442.8131,1.0238647,68.74237,496.78802
1.5398860492185E13,18.275452,17.584229,442.7719,1.0238647,68.74237,496.78802
1.5398880633786E13,19.161987,18.281555,442.45148,1.0238647,68.74237,496.78802
1.5398900775388E13,19.013977,16.938782,442.305,1.0238647,68.74237,496.78802
1.539892091699E13,18.811035,16.793823,442.27753,1.0238647,68.74237,496.78802
1.5398941058591E13,17.956543,16.351318,442.5888,1.0238647,68.74237,496.78802
1.5398961200193E13,18.667603,17.63153,444.6762,1.0238647,68.74237,496.78802
1.5398981341794E13,18.302917,17.266846,444.32068,1.0238647,68.74237,496.78802
1.5399001483396E13,17.280579,15.939331,443.0954,1.0238647,68.74237,496.78802
1.5399021624997E13,18.495178,16.075134,443.4906,1.0238647,68.74237,496.78802
1.5399041766599E13,18.406677,16.514587,443.14575,1.0238647,68.74237,496.78802
1.5399061908201E13,17.875671,17.347717,442.31415,1.0238647,68.74237,496.78802
1.5399082049802E13,17.112732,16.075134,442.8131,1.0238647,68.74237,496.78802
1.5399102191404E13,17.318726,16.177368,443.01605,1.0238647,68.74237,496.78802
1.5399122333005E13,18.016052,16.207886,444.01245,1.0238647,68.74237,496.78802
1.5399142474607E13,18.495178,15.72876,445.18433,1.0238647,68.74237,496.78802
1.5399162616208E13,18.139648,15.0177,444.72046,1.0238647,68.74237,496.78802
1.539918275781E13,17.33551,13.896179,443.59283,1.0238647,68.74237,496.78802
1.5399202899411E13,17.112732,14.346313,443.15186,1.0238647,68.74237,496.78802
1.5399223041013E13,16.645813,14.411926,443.74084,1.0238647,68.74237,496.78802
1.5399243182615E13,16.036987,14.112854,444.54346,1.0238647,68.74237,496.78802
1.5399263324216E13,16.247559,13.482666,444.33746,1.0238647,68.74237,496.78802
1.5399283465818E13,16.247559,13.778687,444.33746,1.0238647,68.74237,496.78802
1.5399303607419E13,16.096497,14.173889,444.92645,1.0238647,68.74237,496.78802
1.5399323749021E13,15.90271,14.173889,445.69244,1.0238647,68.74237,496.78802
1.5399343890622E13,15.576172,13.847351,445.69244,1.0238647,68.74237,496.78802
1.5399364032224E13,15.621948,13.400269,445.77332,1.0238647,68.74237,496.78802
1.5399384173826E13,16.075134,13.310242,445.86182,1.0238647,68.74237,496.78802
1.5399404315427E13,15.629578,13.398743,446.29822,1.0238647,68.74237,496.78802
1.5399424457029E13,16.197205,13.929749,446.97266,1.0238647,68.74237,496.78802
1.539944459863E13,17.112732,14.346313,447.2168,1.0238647,68.74237,496.78802
1.5399464740232E13,16.148376,13.960266,446.0846,1.0238647,68.74237,496.78802
1.5399484881833E13,15.965271,12.878418,445.755,1.0238647,68.74237,496.78802
1.5399505023435E13,16.421509,12.272644,446.20056,1.0238647,68.74237,496.78802
1.5399525165036E13,15.795898,12.687683,446.40503,1.0238647,68.74237,496.78802
1.5399545306638E13,15.06958,12.858582,446.02814,1.0238647,68.74237,496.78802
1.539956544824E13,14.865112,12.791443,445.69244,1.0238647,68.74237,496.78802
1.5399585589841E13,14.642334,12.121582,445.91217,1.0238647,68.74237,496.78802
1.5399605731443E13,13.960266,11.418152,446.7987,1.0238647,68.74237,496.78802
1.5399625873044E13,13.65509,11.235046,447.2168,1.0238647,68.74237,496.78802
1.5399646014646E13,13.65509,12.425232,447.2168,1.0238647,68.74237,496.78802
1.5399666156247E13,14.131165,12.963867,447.45178,1.0238647,68.74237,496.78802
1.5399686297849E13,14.346313,12.963867,447.55554,1.0238647,68.74237,496.78802
1.5399706439451E13,14.219666,11.82251,447.43195,1.0238647,68.74237,496.78802
1.5399726581052E13,13.540649,10.520935,447.01385,1.0238647,68.74237,496.78802
1.5399746722654E13,13.310242,10.198975,446.87805,1.0238647,68.74237,496.78802
1.5399766864255E13,14.112854,11.538696,446.87805,1.0238647,68.74237,496.78802
