t,wx,wy,wz,wdx,wdy,wdz 
1.5622613528335E13,-0.0054016113,0.13504028,0.12641907,0.021362308,0.031799316,0.032073975
1.5622618563735E13,0.0018920898,0.13093567,0.13812256,0.021362308,0.031799316,0.032073975
1.5622623599135E13,0.008972168,0.11911011,0.14894104,0.021362308,0.031799316,0.032073975
1.5622628634536E13,0.01322937,0.104278564,0.15794373,0.021362308,0.031799316,0.032073975
1.5622633669936E13,0.011917114,0.089904785,0.16279602,0.021362308,0.031799316,0.032073975
1.5622638705337E13,0.005584717,0.07817078,0.16371155,0.021362308,0.031799316,0.032073975
1.5622643740737E13,-0.005264282,0.07229614,0.16371155,0.021362308,0.031799316,0.032073975
1.5622648776137E13,-0.017913818,0.073287964,0.164505,0.021362308,0.031799316,0.032073975
1.5622653811538E13,-0.029296875,0.07910156,0.16313171,0.021362308,0.031799316,0.032073975
1.5622658846938E13,-0.03843689,0.08894348,0.15930176,0.021362308,0.031799316,0.032073975
1.5622663882339E13,-0.04197693,0.10316467,0.15327454,0.021362308,0.031799316,0.032073975
1.5622668917739E13,-0.043273926,0.11830139,0.1485138,0.021362308,0.031799316,0.032073975
1.5622673953139E13,-0.044296265,0.1317749,0.14361572,0.021362308,0.031799316,0.032073975
1.562267898854E13,-0.048080444,0.1412201,0.14147949,0.021362308,0.031799316,0.032073975
1.562268402394E13,-0.05432129,0.14343262,0.1403656,0.021362308,0.031799316,0.032073975
1.5622689059341E13,-0.061706543,0.13987732,0.14021301,0.021362308,0.031799316,0.032073975
1.5622694094741E13,-0.06741333,0.13647461,0.14305115,0.021362308,0.031799316,0.032073975
1.5622699130141E13,-0.0728302,0.13418579,0.14630127,0.021362308,0.031799316,0.032073975
1.5622704165542E13,-0.07519531,0.13487244,0.15023804,0.021362308,0.031799316,0.032073975
1.5622709200942E13,-0.074539185,0.14093018,0.1558075,0.021362308,0.031799316,0.032073975
1.5622714236343E13,-0.07545471,0.14746094,0.16125488,0.021362308,0.031799316,0.032073975
1.5622719271743E13,-0.076538086,0.14886475,0.17478943,0.021362308,0.031799316,0.032073975
1.5622724307143E13,-0.07249451,0.14788818,0.19081116,0.021362308,0.031799316,0.032073975
1.5622729342544E13,-0.06288147,0.14680481,0.20407104,0.021362308,0.031799316,0.032073975
